iter	Passed	Remaining
576	2943	2157
577	2948	2152
578	2952	2146
579	2957	2141
580	2962	2136
581	2967	2131
582	2971	2125
583	2976	2120
584	2980	2114
585	2985	2109
586	2990	2103
587	2995	2098
588	3000	2093
589	3005	2088
590	3010	2083
591	3015	2078
592	3020	2072
593	3024	2067
594	3029	2061
595	3034	2056
596	3038	2051
597	3043	2045
598	3048	2040
599	3052	2035
600	3057	2029
601	3061	2024
602	3066	2018
603	3071	2013
604	3076	2008
605	3080	2003
606	3086	1998
607	3090	1992
608	3095	1987
609	3101	1982
610	3106	1977
611	3111	1972
612	3116	1967
613	3121	1962
614	3126	1957
615	3131	1951
616	3135	1946
617	3140	1941
618	3145	1936
619	3150	1930
620	3154	1925
621	3159	1919
622	3163	1914
623	3168	1909
624	3173	1903
625	3177	1898
626	3182	1893
627	3187	1888
628	3192	1882
629	3197	1877
630	3202	1872
631	3207	1867
632	3212	1862
633	3216	1856
634	3222	1852
635	3227	1846
636	3231	1841
637	3236	1836
638	3241	1831
639	3246	1826
640	3251	1820
641	3256	1815
642	3261	1810
643	3265	1805
644	3270	1800
645	3275	1795
646	3280	1789
647	3285	1784
648	3291	1779
649	3296	1774
650	3301	1769
651	3306	1764
652	3310	1759
653	3315	1753
654	3319	1748
655	3323	1743
656	3328	1737
657	3332	1732
658	3336	1726
659	3340	1720
660	3344	1715
661	3348	1709
662	3352	1704
663	3357	1698
664	3361	1693
665	3365	1687
666	3370	1682
667	3374	1677
668	3379	1671
669	3383	1666
670	3388	1661
671	3392	1655
672	3396	1650
673	3401	1645
674	3406	1640
675	3411	1635
676	3416	1629
677	3420	1624
678	3424	1618
679	3429	1613
680	3433	1608
681	3437	1602
682	3441	1597
683	3446	1592
684	3450	1586
685	3454	1581
686	3458	1575
687	3462	1570
688	3467	1564
689	3471	1559
690	3475	1554
691	3479	1548
692	3483	1543
693	3487	1537
694	3491	1532
695	3495	1526
696	3500	1521
697	3504	1516
698	3509	1511
699	3514	1506
700	3519	1501
701	3523	1495
702	3528	1490
703	3532	1485
704	3537	1480
705	3542	1475
706	3546	1469
707	3551	1464
708	3555	1459
709	3560	1454
710	3564	1449
711	3569	1443
712	3573	1438
713	3578	1433
714	3582	1428
715	3587	1422
716	3591	1417
717	3596	1412
718	3600	1407
719	3605	1401
720	3609	1396
721	3613	1391
722	3618	1386
723	3622	1380
724	3627	1375
725	3631	1370
726	3636	1365
727	3640	1360
728	3644	1354
729	3648	1349
730	3654	1344
731	3658	1339
732	3663	1334
733	3667	1329
734	3672	1324
735	3676	1318
736	3681	1313
737	3685	1308
738	3690	1303
739	3694	1298
740	3699	1293
741	3703	1287
742	3707	1282
743	3711	1277
744	3716	1271
745	3720	1266
746	3724	1261
747	3728	1256
748	3732	1250
749	3737	1245
750	3741	1240
751	3745	1235
752	3749	1229
753	3754	1224
754	3758	1219
755	3762	1214
756	3766	1209
757	3770	1203
758	3775	1198
759	3779	1193
760	3783	1188
761	3787	1183
762	3792	1177
763	3796	1172
764	3800	1167
765	3804	1162
766	3810	1157
767	3814	1152
768	3819	1147
769	3823	1142
770	3828	1137
771	3832	1131
772	3837	1126
773	3841	1121
774	3845	1116
775	3850	1111
776	3854	1106
777	3859	1101
778	3863	1096
779	3867	1090
780	3872	1085
781	3877	1080
782	3881	1075
783	3886	1070
784	3891	1065
785	3896	1060
786	3901	1055
787	3905	1050
788	3910	1045
789	3915	1040
790	3919	1035
791	3924	1030
792	3928	1025
793	3932	1020
794	3937	1015
795	3942	1010
796	3946	1005
797	3951	1000
798	3956	995
799	3960	990
800	3965	985
801	3969	980
802	3974	975
803	3979	970
804	3983	965
805	3988	959
806	3992	954
807	3997	949
808	4001	944
809	4005	939
810	4010	934
811	4014	929
812	4018	924
813	4023	919
814	4027	914
815	4031	909
816	4035	903
817	4039	898
818	4043	893
819	4048	888
820	4052	883
821	4056	878
822	4060	873
823	4064	868
824	4069	863
825	4073	858
826	4078	853
827	4083	848
828	4088	843
829	4093	838
830	4097	833
831	4102	828
832	4106	823
833	4111	818
834	4116	813
835	4121	808
836	4126	803
837	4130	798
838	4135	793
839	4140	788
840	4145	783
841	4150	778
842	4154	773
843	4159	768
844	4164	763
845	4169	758
846	4173	753
847	4178	748
848	4182	743
849	4187	738
850	4192	734
851	4197	729
852	4201	724
853	4206	719
854	4211	714
855	4216	709
856	4221	704
857	4225	699
858	4230	694
859	4235	689
860	4240	684
861	4245	679
862	4249	674
863	4254	669
864	4259	664
865	4264	659
866	4268	654
867	4273	649
868	4278	644
869	4283	640
870	4287	635
871	4292	630
872	4297	625
873	4301	620
874	4306	615
875	4311	610
876	4317	605
877	4322	600
878	4327	595
879	4332	590
880	4337	585
881	4342	580
882	4346	575
883	4351	570
884	4356	566
885	4360	561
886	4365	556
887	4370	551
888	4375	546
889	4380	541
890	4385	536
891	4390	531
892	4395	526
893	4400	521
894	4405	516
895	4410	511
896	4415	506
897	4419	502
898	4424	497
899	4429	492
900	4433	487
901	4437	482
902	4442	477
903	4446	472
904	4451	467
905	4455	462
906	4460	457
907	4464	452
908	4469	447
909	4473	442
910	4478	437
911	4482	432
912	4487	427
913	4492	422
914	4496	417
915	4501	412
916	4505	407
917	4510	402
918	4515	397
919	4519	393
920	4524	388
921	4529	383
922	4534	378
923	4539	373
924	4544	368
925	4549	363
926	4553	358
927	4558	353
928	4562	348
929	4567	343
930	4571	338
931	4576	333
932	4581	328
933	4586	324
934	4590	319
935	4595	314
936	4600	309
937	4604	304
938	4609	299
939	4614	294
940	4618	289
941	4623	284
942	4628	279
943	4633	274
944	4638	269
945	4643	265
946	4647	260
947	4652	255
948	4657	250
949	4662	245
950	4667	240
951	4671	235
952	4676	230
953	4681	225
954	4686	220
955	4691	215
956	4696	211
957	4701	206
958	4706	201
959	4711	196
960	4716	191
961	4721	186
962	4725	181
963	4730	176
964	4734	171
965	4739	166
966	4744	161
967	4748	156
968	4753	152
969	4758	147
970	4763	142
971	4768	137
972	4772	132
973	4777	127
974	4781	122
975	4786	117
976	4790	112
977	4795	107
978	4800	102
979	4805	98
980	4809	93
981	4814	88
982	4819	83
983	4825	78
984	4830	73
985	4835	68
986	4840	63
987	4845	58
988	4850	53
989	4855	49
990	4860	44
991	4864	39
992	4869	34
993	4875	29
994	4879	24
995	4884	19
996	4889	14
997	4894	9
998	4900	4
999	4906	0
